axis0,axis1,axis2,axis3,axis4,axis5,label,filename,timestep,split
-0.829590916633606,0.5003881454467773,9.586981773376465,0.45013427734375,-0.213623046875,-0.9002685546875,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,0,training
-0.7667431235313416,0.6123170852661133,9.737217903137207,-0.80108642578125,0.0152587890625,-2.5177001953125,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,1,training
-0.8104372620582581,0.5422866940498352,9.699509620666504,-1.8157958984375,-0.2593994140625,-4.0130615234375,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,2,training
-0.7338228225708008,0.3100491166114807,9.806051254272461,-0.8392333984375,0.1678466796875,-3.3416748046875,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,3,training
-0.7978677153587341,0.16400282084941864,9.625288963317871,-0.518798828125,0.030517578125,-3.173828125,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,4,training
-0.7350199222564697,0.15921440720558167,9.624092102050781,1.40380859375,-0.701904296875,-1.68609619140625,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,5,training
-0.7805097699165344,0.1496376097202301,9.753378868103027,2.57110595703125,-1.16729736328125,-1.03759765625,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,6,training
-0.8355764150619507,0.24241292476654053,9.732429504394531,4.58526611328125,-1.4495849609375,-0.87738037109375,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,7,training
-0.8439561128616333,0.08738835901021957,9.893440246582031,2.2125244140625,-0.762939453125,1.15966796875,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,8,training
-0.8134300112724304,0.27234044671058655,9.813234329223633,1.10626220703125,-0.0152587890625,1.79290771484375,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,9,training
-0.7535749673843384,0.4213795065879822,9.707290649414062,-0.732421875,-0.31280517578125,0.79345703125,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,10,training
-0.74040687084198,0.3357867896556854,9.691728591918945,-0.51116943359375,0.26702880859375,1.19781494140625,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,11,training
-0.7595604658126831,0.5351040959358215,9.545083999633789,-1.06048583984375,-0.34332275390625,-0.18310546875,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,12,training
-0.74040687084198,0.3196259140968323,9.632472038269043,-0.16021728515625,-0.762939453125,0.25177001953125,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,13,training
